iter	Logloss
0	0.6778383773
1	0.6642481526
2	0.6521403125
3	0.641470494
4	0.6318395764
5	0.6232227152
6	0.6153727236
7	0.6083828452
8	0.6021015368
9	0.5967375401
10	0.5920878553
11	0.5876506372
12	0.5837691221
13	0.5802149148
14	0.5771229859
15	0.5742468706
16	0.5717438403
17	0.5695077257
18	0.5675156402
19	0.5656499542
20	0.5639825602
21	0.5624862639
22	0.5609830682
23	0.559723845
24	0.5583991026
25	0.5572390311
26	0.5563103056
27	0.5553262621
28	0.5544943149
29	0.5538453193
30	0.5532092719
31	0.5525773848
32	0.5517648455
33	0.5512385996
34	0.5506198827
35	0.5500221732
36	0.5494255016
37	0.5489151737
38	0.5483963733
39	0.5480147096
40	0.5476219345
41	0.5472574634
42	0.5468774866
43	0.5465828349
44	0.5462390155
45	0.5460025707
46	0.5457953379
47	0.545494818
48	0.5452687684
49	0.5450368685
50	0.5448096052
51	0.5446195342
52	0.5443621328
53	0.5441282724
54	0.5439137346
55	0.5437343023
56	0.5435432785
57	0.5433957205
58	0.5431971054
59	0.5430891903
60	0.5429313573
61	0.5427766099
62	0.5425962269
63	0.5424496222
64	0.5422823323
65	0.5421733219
66	0.542028855
67	0.5418699193
68	0.5417531701
69	0.5416259764
70	0.541502948
71	0.541357981
72	0.5412252309
73	0.5411109396
74	0.5409855156
75	0.5408885489
76	0.5407620075
77	0.5406360343
78	0.5405463903
79	0.5404632302
80	0.5403643665
81	0.5402987105
82	0.5402172726
83	0.5401084749
84	0.5400466573
85	0.5399512485
86	0.539836049
87	0.5397644161
88	0.5396811912
89	0.5396020483
90	0.5395304529
91	0.5394509723
92	0.5393484239
93	0.5392391362
94	0.5391696819
95	0.5391016057
96	0.5390298615
97	0.5389453236
98	0.5388791534
99	0.5387942016
100	0.538732949
101	0.5386533227
102	0.5385672793
103	0.5384762005
104	0.5384058165
105	0.5383573865
106	0.5383120577
107	0.5382406156
108	0.5381913793
109	0.5381158087
110	0.5380416837
111	0.5379783396
112	0.5379244325
113	0.5378432488
114	0.5377920264
115	0.5377206176
116	0.5376241088
117	0.537566603
118	0.5375009107
119	0.5374190112
120	0.5373405517
121	0.5372829825
122	0.5372081819
123	0.5371584533
124	0.5371032291
125	0.537023882
126	0.5369921548
127	0.5369322887
128	0.5368810365
129	0.5368389933
130	0.5367509128
131	0.536674076
132	0.5365959873
133	0.5365146846
134	0.5364749014
135	0.5364267885
136	0.5363693399
137	0.536323575
138	0.5362639565
139	0.5362014284
140	0.5361524261
141	0.5360692434
142	0.5360238655
143	0.5359859132
144	0.5359379168
145	0.5358997246
146	0.5358474857
147	0.5357968245
148	0.5357372025
149	0.5356809521
150	0.5356351833
151	0.5355792919
152	0.5355293095
153	0.5354833015
154	0.5354236297
155	0.535394868
156	0.5353369843
157	0.5352804763
158	0.5351987413
159	0.5351520631
160	0.5351085036
161	0.535047719
162	0.5350026379
163	0.5349566455
164	0.5349069852
165	0.5348373174
166	0.5347849234
167	0.5347317942
168	0.5346865104
169	0.5346169086
170	0.5345588473
171	0.5345062411
172	0.5344556502
173	0.5343944058
174	0.5343472581
175	0.5343050444
176	0.5342641346
177	0.5342081014
178	0.5341702022
179	0.5341106984
180	0.5340389319
181	0.5339851536
182	0.5339196431
183	0.5338762592
184	0.533827998
185	0.5337854115
186	0.5337093797
187	0.533661348
188	0.5336039845
189	0.53355118
190	0.5335064186
191	0.5334710571
192	0.5334354494
193	0.5333964212
194	0.5333380896
195	0.533276169
196	0.5332344084
197	0.533174782
198	0.5330956051
199	0.53302652
200	0.5329621197
201	0.5328956486
202	0.5328218115
203	0.5327686866
204	0.5327002327
205	0.5326317019
206	0.5325911205
207	0.5325404115
208	0.5324646235
209	0.5323804186
210	0.5323166533
211	0.5322684155
212	0.5322087868
213	0.5321611292
214	0.5321104321
215	0.5320579329
216	0.5320296772
217	0.5319875937
218	0.5319234213
219	0.5318705196
220	0.5318334116
221	0.531769327
222	0.5317001796
223	0.5316395192
224	0.5316011419
225	0.5315398523
226	0.5314775925
227	0.5314324382
228	0.5313904117
229	0.5313239651
230	0.5312897178
231	0.5312612766
232	0.5311797563
233	0.5311483192
234	0.5311012023
235	0.5310491417
236	0.5309937772
237	0.5309327736
238	0.5308946043
239	0.5308443247
240	0.5307869748
241	0.5307254299
242	0.5306881672
243	0.530629898
244	0.530575717
245	0.5305415339
246	0.5304956978
247	0.5304311754
248	0.5303906265
249	0.5303247251
250	0.5302744752
251	0.5302113121
252	0.5301993811
253	0.5301358185
254	0.530102425
255	0.5300345237
256	0.5299992135
257	0.5299313896
258	0.5298841633
259	0.5298226272
260	0.5297600539
261	0.5297060184
262	0.5296242019
263	0.5295921228
264	0.5295490931
265	0.5294947341
266	0.5294311101
267	0.5293861086
268	0.5293410209
269	0.5292955804
270	0.5292514799
271	0.529211078
272	0.529152734
273	0.52910558
274	0.5290465144
275	0.5289969803
276	0.5289519635
277	0.528920484
278	0.528851708
279	0.5287992816
280	0.5287676425
281	0.5287236587
282	0.5286991791
283	0.5286465866
284	0.528594469
285	0.528539017
286	0.528499578
287	0.5284585386
288	0.5284194465
289	0.5283780094
290	0.5283238304
291	0.5282719095
292	0.528226276
293	0.5281669294
294	0.5281090836
295	0.5280576896
296	0.5279844122
297	0.5279387889
298	0.5278824959
299	0.5278467325
300	0.5278234248
301	0.5277755386
302	0.5277360065
303	0.5276915432
304	0.5276552663
305	0.5276042527
306	0.527559969
307	0.5275211629
308	0.5274753236
309	0.5274199612
310	0.527349191
311	0.5273002247
312	0.5272498531
313	0.5271940575
314	0.5271336424
315	0.5270706902
316	0.5269920663
317	0.5269584291
318	0.5269090535
319	0.526854483
320	0.5268269444
321	0.526732967
322	0.5266800175
323	0.5266305554
324	0.5265782121
325	0.526536191
326	0.526469299
327	0.526435542
328	0.5263902439
329	0.5263281589
330	0.5262739873
331	0.5262430734
332	0.5262076677
333	0.526153103
334	0.5260925646
335	0.5260555342
336	0.526013351
337	0.5259858197
338	0.5259365222
339	0.5259131867
340	0.5258732815
341	0.5258176919
342	0.5257695788
343	0.5257521871
344	0.5257176397
345	0.5256707239
346	0.5256472532
347	0.5255790561
348	0.5255388932
349	0.5255040498
350	0.5254634788
351	0.5253881673
352	0.5253685984
353	0.5253215273
354	0.5252666921
355	0.5252231584
356	0.5251994054
357	0.52515671
358	0.5251059922
359	0.5250859805
360	0.5250635133
361	0.5250240473
362	0.5249985282
363	0.5249530808
364	0.5249309259
365	0.5248928836
366	0.5248516832
367	0.5248065162
368	0.5247761569
369	0.5247301349
370	0.524669473
371	0.5246221198
372	0.524589345
373	0.5245325944
374	0.5244820761
375	0.5244687095
376	0.5244485257
377	0.5244070886
378	0.5243577554
379	0.5242981977
380	0.5242648974
381	0.5242337379
382	0.5241896937
383	0.5241526379
384	0.5241084949
385	0.5240765264
386	0.5240161147
387	0.5239880553
388	0.5239506366
389	0.5239100836
390	0.5238546633
391	0.5238359196
392	0.5237850354
393	0.5237332689
394	0.5237030411
395	0.5236539125
396	0.523597025
397	0.5235350457
398	0.5234923313
399	0.5234529141
400	0.5234096461
401	0.5233701639
402	0.523332722
403	0.5232813262
404	0.5232171343
405	0.5231693437
406	0.5231248805
407	0.5230753918
408	0.5230260253
409	0.5229769805
410	0.522928533
411	0.522886654
412	0.5228469844
413	0.5228041019
414	0.5227754283
415	0.5227388843
416	0.5226839112
417	0.5226356308
418	0.5226066652
419	0.5225764222
420	0.5225253786
421	0.5224952328
422	0.5224529945
423	0.5224139062
424	0.5223777413
425	0.5223534983
426	0.5223246285
427	0.5222963219
428	0.522236105
429	0.5221862144
430	0.5221305613
431	0.522088271
432	0.5220577492
433	0.5220343271
434	0.5220028269
435	0.521967593
436	0.5219366818
437	0.5219077334
438	0.521846848
439	0.5218297879
440	0.5217985562
441	0.5217479646
442	0.521672336
443	0.5216179294
444	0.5215845207
445	0.5215375585
446	0.5214880442
447	0.5214445099
448	0.5214114131
449	0.5213845769
450	0.5213537448
451	0.5213295479
452	0.5212770384
453	0.5212449612
454	0.5211875389
455	0.5211530435
456	0.5211345517
457	0.5210987778
458	0.5210713518
459	0.5210328781
460	0.5210092238
461	0.5209790103
462	0.5209214203
463	0.5208850343
464	0.5208348016
465	0.5207942213
466	0.5207534049
467	0.5207200332
468	0.5206952325
469	0.5206543308
470	0.5206048543
471	0.5205541129
472	0.5205270487
473	0.5205025764
474	0.5204760836
475	0.5204385835
476	0.5204112849
477	0.5203636725
478	0.5203313804
479	0.5203107101
480	0.5202547454
481	0.5202298825
482	0.5201958653
483	0.5201574367
484	0.5201033808
485	0.5200571436
486	0.5200274799
487	0.5199886683
488	0.5199433239
489	0.5199133003
490	0.5198826218
491	0.5198525291
492	0.5198178571
493	0.5197613444
494	0.5197289088
495	0.5197029225
496	0.5196685904
497	0.519641298
498	0.5196080473
499	0.519576386
500	0.5195503564
501	0.5195132238
502	0.5194619562
503	0.5194292811
504	0.5193877181
505	0.5193522102
506	0.5193305643
507	0.5192735498
508	0.5192347587
509	0.5191944666
510	0.5191607553
511	0.519127285
512	0.5190769184
513	0.5190311693
514	0.5190100697
515	0.5189818506
516	0.5189489253
517	0.5189160184
518	0.5189020517
519	0.5188654602
520	0.5188386983
521	0.5188271304
522	0.5187900158
523	0.5187606052
524	0.5187131215
525	0.5186819684
526	0.518633917
527	0.5185917186
528	0.5185675458
529	0.5185444875
530	0.5185084906
531	0.5184591403
532	0.5184196915
533	0.5183976863
534	0.5183697268
535	0.5183174589
536	0.5182952828
537	0.5182665552
538	0.5182269093
539	0.5181735939
540	0.5181491129
541	0.5181166496
542	0.5180943638
543	0.5180514445
544	0.5180057883
545	0.5179921006
546	0.5179536942
547	0.5179276239
548	0.5178890313
549	0.517838519
550	0.5177982992
551	0.5177592275
552	0.5177335007
553	0.5176957129
554	0.5176342766
555	0.5176006147
556	0.5175633805
557	0.5175119455
558	0.5174625996
559	0.5174125448
560	0.5173664125
561	0.5173483591
562	0.5173248287
563	0.5172985585
564	0.5172653387
565	0.5172269565
566	0.5171872587
567	0.5171489517
568	0.5171061528
569	0.5170728106
570	0.517025694
571	0.5170022487
572	0.516984063
573	0.5169510156
574	0.516927626
575	0.5168562333
576	0.5168050424
577	0.5167941901
578	0.5167628399
579	0.5167595646
580	0.5167385244
581	0.5167077946
582	0.5166546179
583	0.5166237694
584	0.5166064077
585	0.5165672724
586	0.516528938
587	0.5164953861
588	0.5164765994
589	0.5164569021
590	0.5163916163
591	0.5163402662
592	0.5163170384
593	0.5162883121
594	0.5162700193
595	0.516231906
596	0.5162047135
597	0.5161648263
598	0.5161140721
599	0.5160839959
600	0.5160501807
601	0.516025461
602	0.5159903548
603	0.515973569
604	0.5159433775
605	0.5159167849
606	0.5158851541
607	0.5158572756
608	0.5158289652
609	0.5158005498
610	0.5157756615
611	0.5157407862
612	0.5157054536
613	0.5156966308
614	0.5156488711
615	0.5155960901
616	0.5155705626
617	0.515537671
618	0.5155132921
619	0.5154543446
620	0.5154277377
621	0.5154003909
622	0.5153693439
623	0.515350764
624	0.5152965404
625	0.5152728404
626	0.5152555537
627	0.5152262448
628	0.5151983464
629	0.5151621878
630	0.5151621954
631	0.5151230938
632	0.5150739672
633	0.5150510052
634	0.5150068816
635	0.5149577201
636	0.5149290647
637	0.5149046317
638	0.5148823386
639	0.5148601231
640	0.514821086
641	0.5148008956
642	0.5147515494
643	0.5147181945
644	0.5146668058
645	0.514638755
646	0.5145915665
647	0.5145575937
648	0.5145339419
649	0.5145101304
650	0.5144680625
651	0.5144235528
652	0.5143873063
653	0.5143539426
654	0.5143242448
655	0.5142897201
656	0.5142326096
657	0.5142012497
658	0.5141527853
659	0.5141052484
660	0.51407532
661	0.5140296912
662	0.5139808343
663	0.5139664051
664	0.5139295223
665	0.5139038213
666	0.5138638879
667	0.5138385521
668	0.5137866471
669	0.5137419438
670	0.5137028818
671	0.5136738173
672	0.5136228224
673	0.513592845
674	0.5135475651
675	0.5135316122
676	0.5134981213
677	0.5134528415
678	0.5134193084
679	0.5133919787
680	0.5133316788
681	0.513311545
682	0.5132744791
683	0.513268234
684	0.5132474229
685	0.5132271246
686	0.5132025497
687	0.5131514224
688	0.5131308973
689	0.5130845001
690	0.5130641461
691	0.5130270353
692	0.5130048444
693	0.5129742606
694	0.5129282895
695	0.5128892169
696	0.5128345603
697	0.5127919016
698	0.5127661782
699	0.5127303897
700	0.5126956733
701	0.512664342
702	0.5126465599
703	0.5126192477
704	0.5125919656
705	0.5125745923
706	0.512540534
707	0.512500846
708	0.512473635
709	0.5124377716
710	0.5124004818
711	0.512374104
712	0.5123362452
713	0.5122974079
714	0.5122716425
715	0.512247553
716	0.5122300715
717	0.5121548517
718	0.5121280394
719	0.5121147294
720	0.5120891719
721	0.5120387746
722	0.51199209
723	0.511955674
724	0.5119216787
725	0.5118805915
726	0.5118544179
727	0.5118092541
728	0.511783622
729	0.5117410429
730	0.5116959675
731	0.5116499901
732	0.511594697
733	0.5115803049
734	0.5115536025
735	0.511518648
736	0.511484818
737	0.5114498736
738	0.511432247
739	0.5113915226
740	0.5113710327
741	0.5113438917
742	0.5113186596
743	0.5112818755
744	0.5112527349
745	0.5112294798
746	0.5112152843
747	0.5111852808
748	0.5111532401
749	0.5111142927
750	0.5110615241
751	0.5110385685
752	0.5110079826
753	0.5109839249
754	0.5109580131
755	0.5109014427
756	0.5108602491
757	0.5108161213
758	0.5107890413
759	0.5107766261
760	0.5107692768
761	0.5107209519
762	0.5106931919
763	0.5106527817
764	0.5106044301
765	0.5105530123
766	0.5105215847
767	0.5104920482
768	0.5104507964
769	0.5104168901
770	0.5103702448
771	0.5103479752
772	0.5103279449
773	0.5103093295
774	0.5102680875
775	0.5102322418
776	0.510198589
777	0.5101607385
778	0.5101235015
779	0.5100803428
780	0.51003401
781	0.5100217262
782	0.5099821327
783	0.5099491089
784	0.5099282976
785	0.509897209
786	0.5098427267
787	0.5098226749
788	0.5097842908
789	0.5097519417
790	0.5097225558
791	0.509666352
792	0.5096223039
793	0.5095732161
794	0.5095445409
795	0.5095034129
796	0.5094749765
797	0.5094437858
798	0.5094017834
799	0.5093729223
800	0.5093433031
801	0.5092985744
802	0.5092833027
803	0.5092495477
804	0.5092187069
805	0.5091831481
806	0.5091529756
807	0.509143872
808	0.5091013953
809	0.5090778589
810	0.5090578956
811	0.5090025354
812	0.50897632
813	0.5089438955
814	0.5089214116
815	0.5088780199
816	0.5088498913
817	0.5088249994
818	0.5087814777
819	0.5087481647
820	0.5087178588
821	0.5086950011
822	0.5086513017
823	0.5086286491
824	0.5086000666
825	0.508568748
826	0.5085442998
827	0.5085263945
828	0.5085072955
829	0.5084824846
830	0.5084616243
831	0.5084124501
832	0.5083916794
833	0.5083756225
834	0.5083505059
835	0.5083207179
836	0.5082719255
837	0.508225957
838	0.5081941925
839	0.5081618079
840	0.5081267732
841	0.5080940233
842	0.5080588693
843	0.5080269059
844	0.5080118943
845	0.5079584704
846	0.5079305471
847	0.5079165927
848	0.5078997767
849	0.5078815882
850	0.5078430888
851	0.5078220657
852	0.5077949544
853	0.5077597454
854	0.5077177443
855	0.5076654467
856	0.5076564672
857	0.5076300686
858	0.5075926045
859	0.5075458438
860	0.507523112
861	0.5074932049
862	0.5074655375
863	0.5074451905
864	0.5074212542
865	0.5073768913
866	0.5073558346
867	0.5073207737
868	0.5072699678
869	0.5072371606
870	0.5071887399
871	0.5071661986
872	0.5071238449
873	0.5071001177
874	0.5070876281
875	0.5070745554
876	0.5070474284
877	0.5070048869
878	0.5069862227
879	0.506953784
880	0.5069126558
881	0.5068657022
882	0.5068442756
883	0.506830426
884	0.5068003252
885	0.5067825121
886	0.5067466145
887	0.506706121
888	0.506668082
889	0.506642473
890	0.5066290715
891	0.5065823216
892	0.5065519348
893	0.5065304431
894	0.5065015269
895	0.5064598026
896	0.5064282417
897	0.5063820633
898	0.5063635662
899	0.5063317956
900	0.5063092508
901	0.5062871243
902	0.5062524598
903	0.5061975185
904	0.5061869728
905	0.5061510476
906	0.5061350076
907	0.5060982781
908	0.5060563404
909	0.5060351365
910	0.506021929
911	0.506000679
912	0.5059684169
913	0.5059336394
914	0.5058882057
915	0.5058467603
916	0.5058238743
917	0.5057978968
918	0.5057825488
919	0.5057445532
920	0.5057276824
921	0.5057067422
922	0.5056979057
923	0.5056383237
924	0.5056025156
925	0.5055846262
926	0.5055688843
927	0.5055320113
928	0.5055031158
929	0.5054568233
930	0.5054423041
931	0.5054183259
932	0.5053818951
933	0.5053605613
934	0.5053440234
935	0.5053112139
936	0.5052782165
937	0.5052325588
938	0.5052163834
939	0.5051893706
940	0.5051716506
941	0.505161342
942	0.5051176885
943	0.5050692895
944	0.5050443547
945	0.5049907605
946	0.504957134
947	0.5049130068
948	0.5048973814
949	0.5048754992
950	0.5048491102
951	0.5048339359
952	0.5048021091
953	0.5047783977
954	0.5047470209
955	0.5047271236
956	0.5047040104
957	0.504674285
958	0.5046268475
959	0.504590077
960	0.5045545607
961	0.504529775
962	0.5044914676
963	0.5044588977
964	0.5044445041
965	0.5043916536
966	0.5043718441
967	0.5043524576
968	0.504305239
969	0.5042755437
970	0.5042591966
971	0.5042332861
972	0.5042094053
973	0.5041888087
974	0.5041607344
975	0.5041256543
976	0.5040808913
977	0.5040349487
978	0.5039985267
979	0.5039848363
980	0.5039629728
981	0.5039215734
982	0.5038896135
983	0.5038621216
984	0.5038435706
985	0.5038282778
