iter	Passed	Remaining
0	164	164583
1	171	85563
2	177	58960
3	183	45788
4	189	37767
5	194	32292
6	199	28357
7	205	25444
8	209	23111
9	215	21341
10	220	19847
11	226	18633
12	231	17577
13	236	16637
14	240	15808
15	245	15111
16	250	14495
17	254	13907
18	260	13436
19	266	13035
20	271	12634
21	276	12282
22	281	11955
23	286	11648
24	291	11370
25	295	11086
26	300	10838
27	305	10603
28	310	10388
29	315	10200
30	320	10017
31	325	9849
32	330	9687
33	336	9556
34	341	9413
35	346	9288
36	352	9162
37	356	9033
38	361	8917
39	366	8804
40	372	8705
41	377	8612
42	382	8521
43	388	8436
44	393	8350
45	398	8264
46	403	8175
47	408	8098
48	413	8030
49	419	7961
50	423	7887
51	428	7818
52	433	7752
53	439	7691
54	443	7625
55	448	7568
56	454	7512
57	459	7459
58	464	7401
59	469	7354
60	474	7306
61	479	7254
62	484	7211
63	489	7165
64	494	7120
65	500	7079
66	505	7035
67	509	6988
68	514	6946
69	519	6905
70	525	6878
71	530	6842
72	536	6811
73	541	6780
74	546	6744
75	552	6711
76	557	6678
77	562	6649
78	567	6618
79	573	6590
80	578	6561
81	583	6535
82	588	6502
83	593	6474
84	599	6450
85	604	6422
86	609	6400
87	615	6376
88	620	6351
89	626	6329
90	631	6310
91	637	6289
92	642	6261
93	647	6239
94	652	6212
95	657	6190
96	662	6170
97	667	6146
98	673	6126
99	678	6103
100	683	6080
101	688	6061
102	693	6041
103	698	6020
104	703	5999
105	709	5983
106	715	5970
107	721	5955
108	726	5937
109	731	5919
110	736	5901
111	742	5885
112	747	5865
113	752	5846
114	757	5831
115	762	5813
116	766	5787
117	772	5773
118	777	5757
119	783	5742
120	788	5724
121	793	5711
122	798	5694
123	803	5677
124	808	5660
125	813	5641
126	818	5627
127	824	5615
128	829	5601
129	834	5586
130	839	5571
131	845	5558
132	850	5545
133	856	5534
134	861	5520
135	866	5507
136	871	5491
137	876	5477
138	881	5463
139	887	5449
140	893	5442
141	899	5433
142	906	5432
143	912	5422
144	917	5411
145	923	5399
146	928	5389
147	934	5377
148	939	5364
149	944	5351
150	949	5340
151	954	5326
152	959	5313
153	964	5299
154	969	5286
155	975	5275
156	980	5264
157	986	5257
158	992	5249
159	997	5239
160	1004	5232
161	1010	5225
162	1016	5218
163	1022	5210
164	1028	5204
165	1034	5195
166	1039	5187
167	1045	5178
168	1051	5168
169	1056	5157
170	1061	5145
171	1066	5133
172	1071	5121
173	1076	5108
174	1081	5096
175	1086	5084
176	1091	5076
177	1097	5069
178	1103	5059
179	1109	5052
180	1114	5041
181	1119	5030
182	1124	5019
183	1130	5011
184	1135	5003
185	1141	4995
186	1146	4985
187	1152	4975
188	1156	4964
189	1163	4959
190	1168	4950
191	1174	4943
192	1180	4935
193	1185	4926
194	1190	4916
195	1196	4909
196	1202	4900
197	1208	4893
198	1212	4882
199	1218	4873
200	1223	4863
201	1229	4856
202	1235	4849
203	1240	4841
204	1246	4832
205	1251	4825
206	1257	4818
207	1263	4810
208	1268	4802
209	1273	4792
210	1279	4784
211	1285	4776
212	1290	4769
213	1296	4761
214	1301	4753
215	1308	4747
216	1314	4743
217	1320	4736
218	1325	4728
219	1332	4723
220	1337	4715
221	1343	4707
222	1348	4698
223	1353	4690
224	1359	4682
225	1365	4675
226	1370	4668
227	1376	4661
228	1382	4654
229	1388	4648
230	1394	4640
231	1400	4635
232	1405	4626
233	1412	4624
234	1418	4618
235	1425	4613
236	1431	4607
237	1437	4602
238	1443	4597
239	1449	4590
240	1455	4583
241	1461	4577
242	1466	4570
243	1472	4562
244	1478	4556
245	1484	4549
246	1490	4542
247	1495	4535
248	1501	4527
249	1506	4520
250	1512	4513
251	1517	4504
252	1523	4498
253	1528	4489
254	1534	4482
255	1540	4477
256	1546	4472
257	1552	4465
258	1558	4457
259	1563	4449
260	1569	4443
261	1575	4438
262	1581	4431
263	1587	4424
264	1593	4418
265	1599	4412
266	1605	4407
267	1610	4398
268	1616	4391
269	1622	4386
270	1627	4378
271	1633	4371
272	1638	4363
273	1644	4356
274	1650	4350
275	1655	4343
276	1661	4336
277	1667	4331
278	1672	4323
279	1678	4316
280	1683	4308
281	1689	4301
282	1694	4293
283	1700	4286
284	1705	4278
285	1710	4270
286	1716	4263
287	1721	4256
288	1727	4250
289	1732	4241
290	1737	4234
291	1743	4227
292	1749	4221
293	1755	4214
294	1760	4208
295	1766	4200
296	1771	4192
297	1776	4185
298	1781	4177
299	1787	4170
300	1792	4162
301	1797	4155
302	1803	4148
303	1808	4140
304	1814	4134
305	1820	4127
306	1825	4121
307	1831	4114
308	1837	4108
309	1843	4102
310	1848	4094
311	1853	4088
312	1859	4081
313	1864	4074
314	1870	4068
315	1876	4062
316	1882	4055
317	1888	4049
318	1893	4042
319	1899	4036
320	1905	4030
321	1910	4022
322	1915	4014
323	1920	4006
324	1925	3999
325	1931	3992
326	1936	3984
327	1941	3977
328	1946	3970
329	1952	3963
330	1957	3956
331	1962	3949
332	1968	3942
333	1973	3935
334	1979	3929
335	1984	3922
336	1990	3916
337	1996	3910
338	2002	3905
339	2008	3899
340	2014	3893
341	2019	3886
342	2024	3878
343	2030	3871
344	2035	3864
345	2040	3856
346	2045	3849
347	2050	3841
348	2056	3835
349	2061	3829
350	2067	3822
351	2072	3815
352	2078	3809
353	2083	3802
354	2088	3794
355	2094	3788
356	2099	3781
357	2104	3774
358	2109	3766
359	2114	3759
360	2120	3753
361	2125	3746
362	2131	3740
363	2136	3733
364	2142	3726
365	2147	3720
366	2153	3713
367	2158	3707
368	2164	3700
369	2169	3693
370	2175	3687
371	2180	3681
372	2186	3675
373	2191	3668
374	2197	3662
375	2202	3655
376	2208	3649
377	2213	3643
378	2219	3636
379	2224	3629
380	2229	3622
381	2235	3615
382	2239	3608
383	2245	3601
384	2250	3595
385	2256	3588
386	2261	3582
387	2266	3575
388	2272	3568
389	2277	3562
390	2283	3556
391	2288	3550
392	2294	3543
393	2299	3536
394	2304	3529
395	2310	3523
396	2315	3516
397	2320	3509
398	2326	3505
399	2332	3498
400	2337	3491
401	2342	3485
402	2348	3478
403	2353	3472
404	2359	3466
405	2364	3459
406	2369	3452
407	2375	3446
408	2380	3440
409	2386	3433
410	2391	3427
411	2397	3421
412	2402	3414
413	2407	3408
414	2413	3401
415	2419	3396
416	2424	3389
417	2429	3382
418	2434	3376
419	2440	3369
420	2445	3363
421	2450	3356
422	2455	3349
423	2461	3343
424	2466	3337
425	2472	3331
426	2477	3325
427	2483	3319
428	2488	3312
429	2493	3305
430	2499	3299
431	2504	3293
432	2509	3286
433	2515	3280
434	2520	3273
435	2525	3267
436	2531	3260
437	2536	3254
438	2541	3248
439	2547	3242
440	2554	3237
441	2560	3232
442	2565	3226
443	2571	3220
444	2577	3214
445	2582	3207
446	2587	3200
447	2593	3195
448	2598	3188
449	2603	3182
450	2609	3175
451	2614	3169
452	2620	3163
453	2625	3157
454	2631	3151
455	2636	3145
456	2641	3139
457	2647	3132
458	2652	3126
459	2657	3119
460	2663	3113
461	2668	3107
462	2673	3101
463	2679	3094
464	2685	3089
465	2690	3082
466	2695	3076
467	2701	3070
468	2707	3064
469	2712	3058
470	2718	3052
471	2723	3046
472	2728	3040
473	2734	3034
474	2739	3028
475	2745	3022
